Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
You don't need any grass or dirt, Bonds.	Bonds，你不需要任何草或泥土。
Grass covers the rich earth by the stream.	溪邊肥沃的土地上覆蓋著青草。
I think it might be Taselli. I can't be sure, though.	我覺得可能是 Taselli，但還不能確定。
Think so? Nothing like a solid opinion. Thanks, Sonny.	是嗎？真是可靠的意見。謝謝你，Sonny。
Yeah, thanks, Sonny. We'll inform dispatch.	好，謝謝你，Sonny。我們會通知調度。
I'm afraid it's Jason Taselli.	恐怕他是 Jason Taselli。
What are you afraid of? He's dead! Ha ha ha!	你怕什麼？他已經死了！哈哈哈！
Poor sucker didn't get too far, did he?	這可憐的傢伙沒跑多遠嘛，是吧？
Oh, I don't know, he got all the way downstream! Ha ha! Thanks, Sonny.	喔，我倒不覺得，他可是一路漂到下游了呢！哈哈！謝了，Sonny。
Don't pester Officer Ballew. He's busy.	別煩 Ballew 警員。他很忙。
It's Officer Todd Ballew.	這是 Todd Ballew 警員。
Hey, Todd, what do we have here?	嘿，Todd，這裡是怎麼回事？
Dead guy, Sonny. Whatsa matter, something wrong with your nose?	死人，Sonny。怎麼了，你的鼻子有問題嗎？
We got an anonymous phone call about him just a few minutes ago. Sounded like a kid. Poor little guy was probably out riding his bike, and came across this. Bummer, huh?	幾分鐘前我們接到一通關於他的匿名電話，聽起來像是個小孩打的。那可憐的小傢伙大概是騎腳踏車出來玩，結果撞見了這一幕。真衰，是吧？
Yeah, poor little guy. The way the kids in this town have been acting lately, I wouldn't be surprised if the kid offed him with his slingshot!	對啊，可憐的小傢伙。照這鎮上小孩最近的德性，就算是那小孩用彈弓把他幹掉的，我也不會意外！
Ha ha! He was probably looking for bubble gum money.	哈哈！他大概只是想找點錢買泡泡糖吧。
You guys are twisted, you know that?	你們這些傢伙很變態，你們知道嗎？
Hey, if I wasn't making jokes, I'd be barfing my heels!	嘿，我要是不開點玩笑，早就吐得七葷八素了！
I hear you on that one, bud.	這點我懂，老兄。
Investigate if you're gonna, Sonny. The coroner is coming for this dude any minute now.	要調查就快點，Sonny。驗屍官隨時會來帶走這傢伙。
Officer Ballew is busy.	Ballew 警員正在忙。
Officer Shannon is looking a little green around the gills there, Bonds. You probably shouldn't touch him.	Shannon 警員臉色有點發青，Bonds。你最好別碰他。
It's Officer Mike Shannon.	這是 Mike Shannon 警員。
Hey, Sonny, what's up? I hear you found a dead guy the other day. We have one, too, so there!	嘿，Sonny，怎麼了？聽說你前幾天發現一具屍體。我們這裡也有一具，哼！
Mike always did have an odd sense of humor.	Mike 的幽默感一向很奇怪。
Oh, man, I'm not feelin' so hot.	唉，老兄，我現在感覺不太妙。
Officer Shannon doesn't feel like talking right now. I wouldn't get too close to him if I were you, Bonds.	Shannon 警員現在不想說話。Bonds，換作是我，就不會太靠近他。
There's more than a little poison sumac in the immediate vicinty, Bonds.	Bonds，這附近的毒漆藤可不只一點點。
Looking at all the plants that grow in the Cove, you try to imagine Lytton before it was a city. You wonder if the whole area was this green and beautiful.	看著 Cove 這一帶長滿的各種植物，你試著想像 Lytton 還沒成為一座城市時是什麼樣子。你很好奇，整個地區當初是不是也像現在這樣翠綠美麗。
The plants whisper in the breeze. If they are talking, they are talking only to each other.	植物在微風中沙沙作響。如果它們真的在說話，那也只是說給彼此聽。
Were you able to reach them from here, you'd find them to feel very rock-like.	如果你能從這裡碰到它們，你會發現摸起來就像石頭一樣。
Outcroppings of rock show here and there where stream erosion has stripped the earth away.	溪水侵蝕沖走了表土的地方，露出了一塊塊突出的岩石。
This is Cotton Cove.	這裡是 Cotton Cove。
That's your sporty personal cruiser.	那是你那輛跑格十足的私家車。
It's your undercover vehicle. It was confiscated in a large drug bust upstate and issued to the department through a program which redistributes siezed assets to local law enforcement agencies.	這是你的臥底用車。它是在北邊一次大型毒品查緝行動中被沒收的，透過一項將查扣資產轉發給地方執法機關的計畫，撥交給了警局。
That's your police issue patrol car.	那是警局配發給你的巡邏車。
So who is he, dude? Do you have any idea?	那他到底是誰啊，老兄？你有頭緒嗎？
See you later, Sonny.	待會見，Sonny。
Yeah, pleasant dreams, Sonny. Ha ha!	對啊，祝你有個好夢，Sonny。哈哈！
Later, you ghouls!	回頭見了，你們這幾個怪咖！
A dip in the stream would be refreshing, but there are more urgent matters at hand.	跳進溪裡泡一下應該很舒服，但現在有更緊急的事要處理。
A good-sized stream runs through the Cove. You used to fish for crawdads here as a boy.	一條頗具規模的溪流貫穿 Cove。你小時候常來這裡釣螯蝦。
Well, that was repulsive and gratuitous.	嗯，那真是既噁心又毫無必要。
A rose tattoo! It's Taselli! Geez, he didn't get too far.	玫瑰刺青！是 Taselli！天啊，他沒逃多遠嘛。
The dead man has a tattoo over his left nipple. It appears to be a red rose.	死者左乳頭上方有一個刺青，看起來是一朵紅玫瑰。
You touch the tree affectionately, wondering if this was the one you carved your initials on in the sixth grade. You feel a brief pang of guilt.	你深情地摸了摸這棵樹，心想這會不會就是你小學六年級時刻上姓名縮寫的那棵。你心裡湧起一陣短暫的愧疚感。
These trees have grown in the cove for as long as you can remember.	這些樹木在 Cove 裡生長，你從有記憶以來就一直是這樣。
The tree says: "I remember you. You just keep your pocket knife away from me, Bucko!"	這棵樹說：「我記得你。你這個小子，把你的小刀離我遠一點！」
Just walk up to them. They're automatic.	直接走過去就好，它們是自動門。
Stunning Art Deco doors.	這扇裝飾藝術風格的門真是令人驚艷。
Keep your hands off the asphalt.	別把手放在柏油路面上。
It's the driveway. This is where the valet would take your car and park it for you, if you were staying at the hotel.	這是車道。如果你是這間飯店的住客，泊車員就會在這裡幫你把車開走停好。
The HD doesn't mean High Density in this case. It means Hotel Delphoria.	這裡的 HD 不是指『高密度』（High Density），而是指 Hotel Delphoria（Delphoria 飯店）。
Try walking on it.	試著踩踩看。
It's the mat that triggers the automatic doors of the Hotel Delphoria.	這是觸動 Delphoria 飯店自動門的踏墊。
That's the street address of the Hotel Delphoria.	那是 Delphoria 飯店的門牌地址。
If this were one of these incredibly improbable cop movies full of car chases and shootouts, you'd probably end up diving out of an upper story window and landing safely on this overhang at some point. But it isn't. And you won't.	如果這是那種充滿追車和槍戰、劇情誇張到不可能的警匪電影，你大概會在某個時刻從樓上的窗戶一躍而下，安全地摔落在這片遮雨棚上。但這不是電影，你也不會這麼做。
Nice maroon overhang, as maroon overhangs go.	以栗紅色遮雨棚來說，這一片算是相當不錯的。
Leave the poles alone.	別去碰那些柱子。
These poles hold up the overhang. They get knocked down by an old lady with blue hair or a little old man in a fedora driving a 150- foot RV at least once a year.	這些柱子撐著遮雨棚。每年至少會被一頭藍髮的老太太，或是戴著紳士帽、開著一輛長達 150 英尺露營車的小老頭撞倒一次。
This is the semi-beautiful, outrageously expensive Hotel Delphoria.	這裡是半美不美、貴得離譜的 Delphoria 飯店。
Clean sidewalks!	乾淨的人行道！
The sidewalks in front of the Delphoria are sparkling ribbons of pure white concrete.	Delphoria 飯店前的人行道，是一條條閃閃發亮的純白水泥步道。
The last thing to touch that sign was the top of a Winnebago. The sign's been a little sensitive about being touched ever since.	上一個碰到那塊招牌的東西，是一輛 Winnebago 露營車的車頂。從那之後，這塊招牌對『被碰』這件事就變得有點敏感。
The sign says, "Delphoria".	招牌上寫著「Delphoria」。
It would be unprofessional to put your nose on the glass and stare, Bonds.	Bonds，把鼻子貼在玻璃上死盯著看，這樣很不專業。
Big plate glass windows open onto the Delphoria's lobby.	大片的落地玻璃窗正對著 Delphoria 飯店的大廳。
Hey, Jack, take your sticky paws offa me! You got about five seconds before I change your sex with my spike heels!	嘿，Jack，把你的髒手拿開！再過五秒，我就要用我的尖跟鞋讓你變性了！
WHACK!!!	啪！！！
Ooooooh...Owwwww...	喔喔喔……好痛啊……
That was smart, Bonds.	那招真聰明，Bonds。
She looks familiar...you're pretty sure that this young lady is a "regular" at the Hotel Delphoria.	她看起來有點面熟……你相當確定這位年輕女子是 Delphoria 飯店的『常客』。
You decide to try out your "Whitey" personality on the young lady.	你決定在這位年輕女子面前，試試你的『Whitey』人格。
Hey, baby, you sure are looking fine today! Won't you favor me with a few precious moments of your time?	嘿，寶貝，妳今天看起來真辣！可不可以賞光，撥幾分鐘寶貴的時間給我？
Hey, you think, that was pretty good! Then you notice the way the woman is looking at you. Kind of like you have three eyes or green skin...	嘿，你心想，這招不錯嘛！接著你注意到那女人看你的眼神，好像你長了三隻眼睛或一身綠皮膚似的……
What do you want, man? My "precious moments" are gonna cost ya.	你想幹嘛，老兄？我的『寶貴時間』是要收費的。
No, no, my dear, as charming as you are, what I really want to do is talk with you for a moment.	不、不，親愛的，雖然妳很迷人，但我真正想做的，只是跟妳聊個幾句。
Look, I don't make my living talking to fruitbats like you. Get lost. No, wait, you're kinda cute. Listen, I gotta tip for you.	聽著，我可不是靠跟你這種怪咖聊天賺錢的。滾開。不，等等，你長得還算可愛。聽好，我給你一個小提示。
"Oh boy," you think, "paydirt!"	「太好了，」你心想，「挖到寶了！」
Invest in some hair dye, honey. You'd look a lot better. Bye, now!	去買點染髮劑吧，親愛的。你會好看很多。掰啦！
Well, that encounter didn't exactly instill you with confidence.	嗯，那次交手完全沒讓你信心大增。
You can't possibly reach that from here.	你從這裡根本碰不到那個。
You look up at the column's capital, and have an unpleasant flashback to the Art History class you took in high school, just so you could sit next to that cute little Jessie Bell Moomjean.	你抬頭看著柱頭，腦中閃過一段不太愉快的回憶——高中時你選修藝術史課，純粹只是為了能坐在可愛的 Jessie Bell Moomjean 旁邊。
Suddenly, it all comes back to you. The capital isn't Doric. It isn't Ionic, and it certainly isn't Corinthian. You decide it must be some more of that Post-Modern stuff.	突然間，你全都想起來了。這柱頭不是多立克式，也不是愛奧尼式，當然更不是科林斯式。你判斷這大概又是那種後現代風格的玩意。
You rub your fingers through the thick pile carpet. People start looking at you. Embarassed, you pretend you lost your wallet.	你用手指摩挲著這片厚絨地毯。周圍的人開始盯著你看。你覺得尷尬，只好假裝自己弄丟了皮夾。
What a nice, thick carpet. You decide you like it, even though it is a queasy sort of color.	好厚實漂亮的地毯。雖然顏色看了有點反胃，你還是決定自己喜歡它。
I beg your pardon, sir, but please don't crush the nap.	不好意思，先生，但請別踩壞了絨毛。
It's the hotel desk clerk.	這是飯店櫃檯人員。
The clerk looks at you narrowly.	櫃檯人員瞇著眼打量你。
Hello, Officer, what can I do for you?	您好，警官，有什麼可以為您效勞的？
Just looking around.	隨便看看而已。
If you must, Officer. If you'll excuse me, sir, I have paperwork to catch up on.	如果您堅持的話，警官。容我告退，先生，我還有一堆文書工作要補。
If you believed the desk clerk, you'd probably sympathize.	如果你相信這位櫃檯人員的話，大概會有點同情他。
The clerk is ignoring you.	櫃檯人員無視你。
What can I do for you, sir?	先生，有什麼能為您效勞的？
You detect a heavy note of sarcasm, but decide to ignore it.	你察覺到話裡濃濃的諷刺意味，但決定不予理會。
Do you have any rooms available?	請問還有空房嗎？
I think we--hey, don't I know you?	我想我們──嘿，我是不是見過你？
Um, I don't think so.	呃，我想沒有吧。
Aren't you a cop? You are, aren't you?	你是不是條子？你就是，對吧？
Well, I--	呃，我──
Sorry, we don't have any rooms available--Officer.	抱歉，我們沒有空房了──警官。
Excuse me...	不好意思……
I'd like a room.	我想要一間房。
Let me see if we have one available.	讓我看看是否還有空房。
The clerk pretends to check in the registration book. It's pretty obvious he's checking you over.	櫃檯人員假裝翻閱登記簿，但很明顯他其實是在打量你。
You look familiar.	你看起來有點面熟。
The name's Jimmy Lee Banksten, but my friends call me Whitey.	我叫 Jimmy Lee Banksten，不過朋友都叫我『Whitey』。
Whitey! Sweet Chee--Er, Miss Marie told be about you.	『Whitey』！Sweet Chee──呃，Marie 小姐跟我提過你。
The clerk winks laciviously.	櫃檯人員色瞇瞇地眨了眨眼。
We've got a room for you, pal. You can have it at a special rate. Just for Marie's friends, $75.00 a night.	我們有房間給你，老兄。可以給你優惠價。只給 Marie 的朋友，一晚 75 美元。
Thanks, my man.	謝了，老兄。
You fork over the bucks, and the clerk gives you the key to room 202. So far, so good!	你付了錢，櫃檯人員把 202 號房的鑰匙給你。目前為止一切順利！
Yes, sir. Is there something else I can help you with?	是，先生。還有什麼我能為您效勞的嗎？
Uh, no. I guess I'm just wandering around aimlessly. Pay no mind to me, I'm just checking out your fine establishment. Sorry to bother you.	呃，沒有。我大概只是隨便晃晃。別理我，我只是在參觀一下貴店。抱歉打擾了。
The column is smooth and cold. People are going to start wondering why you're stroking that column, Bonds.	這根柱子摸起來光滑冰涼。Bonds，再摸下去，別人要開始納悶你幹嘛一直撫摸那根柱子了。
It's a marble column.	這是一根大理石柱。
You run your hand over the carved, painted wood. Pretty snazzy, huh?	你用手撫過雕刻上漆的木頭。挺花俏的，對吧？
The doorframes are a sharp blend of Post-Modern color and Art Deco design.	這些門框融合了後現代色彩與裝飾藝術風格設計，搭配得相當亮眼。
Try pressing the button, Bonds.	Bonds，試著按一下按鈕吧。
It's the Hotel elevator.	這是飯店的電梯。
The elevator button lights up in a pleasing manner. Wow, it's even clean!	電梯按鈕亮起的方式挺討喜的。哇，它居然還是乾淨的！
It's the elevator button.	這是電梯按鈕。
The elevator lights tell you which floor the elevator is on. You've seen elevator lights before, Officer. Remember? Back at the station?	電梯的指示燈會告訴你電梯目前在哪一樓。警員，你以前見過電梯指示燈吧。記得嗎？在警局的時候？
The button doesn't respond. Either the button is broken--or the fourth floor is off limits.	按鈕沒有反應。要嘛是按鈕壞了——要嘛是四樓禁止進入。
You're already here!	你已經在這裡了！
You took Art History once, Bonds. You know better than to touch the surface of a painting.	Bonds，你修過一次藝術史。你應該很清楚不該去碰畫作的表面。
It's a painting of a lovely, peaceful pastoral scene. You look at it and sigh. Sometimes you wish you lived in the country, where the crime rate is low and the air is clean and pure. On the other hand, you wouldn't have bastions of civilized culture like the Blue Room. Nah. You decide the simple life just isn't for you.	這是一幅描繪美麗恬靜田園風光的畫。你看著它嘆了口氣。有時候你會希望自己住在鄉下，那裡犯罪率低，空氣清新純淨。不過另一方面，那裡也不會有像 Blue Room 這種文明文化的堡壘。算了。你認定簡樸生活終究不適合你。
Wow, marble paneling. You're mildly impressed.	哇，大理石壁板。你多少有點印象深刻。
These are pigeonholes which hold messages for hotel guests and spare keys for the rooms.	這些是鴿子籠式的置物格，用來放房客的留言和房間的備用鑰匙。
When you touch the leaves, you discover the plant is silk. You're somehow disappointed.	你摸了摸葉子，發現這株植物是絲質的。你不知怎地感到有點失望。
It's a bushy green plant.	這是一株茂密的綠色植物。
The fake plant is unmoved by your tender murmurings.	這株假植物對你溫柔的呢喃毫無反應。
Wow, marble!	哇，大理石！
The registration desk. You're impressed; you've never seen one that doesn't have gang writing carved into the top.	這是櫃檯登記桌。你印象深刻；你還沒見過哪張登記桌的桌面上沒被刻上幫派塗鴉的。
This is the lobby of the Hotel Delphoria. It's a beautiful old hotel, and it was once a classy place. Now the old clientele are being replaced by gangsters, drug dealers, and prostitutes. Needless to say, the Lytton Historical Society is appalled.	這是 Delphoria 飯店的大廳。這是一間美麗的老飯店，曾經是個高檔的地方。如今，老主顧已逐漸被幫派份子、毒販和妓女取代。不用說，Lytton 歷史學會對此深感震驚。
Hey, Baby. Frank sent me.	嘿，寶貝。Frank 派我來的。
Whitey, it's nice to see you back. I believe your new friends are waiting. Please follow me.	Whitey，很高興看到你回來了。我想你的新朋友們正在等你。請跟我來。
I'll be with you in a moment.	我馬上就來招呼你。
Just a minute, please!	請稍等一下！
Hold your horses, hotshot!	別急，大人物！
Don't rush me!	別催我！
It's Marie's friend Alex, the hotel bartender.	這是 Marie 的朋友 Alex，飯店的酒保。
You slip Alex two hundred dollars. She deftly pockets it.	你悄悄塞給 Alex 兩百塊錢。她俐落地把錢收進口袋。
Okay, hot shot, let's go. I hope you're as good as you think you are!	好了，大人物，走吧。希望你真的有自己想得那麼行！
Honey, I'm better!	親愛的，我比那還厲害呢！
Ha ha ha!	哈哈哈！
Shouldn't you talk to her first?	你不該先跟她說說話嗎？
Here ya go, Angel.	拿去吧，天使。
A hundred dollar bill! Well, you must be doing okay for yourself, mister. Hold on, I have to go get change for that.	一百塊的鈔票！哎呀，先生，你的日子過得挺不錯嘛。等一下，我得去換零錢。
Thank you, sir. Please come again.	謝謝您，先生。歡迎再度光臨。
Marie's very special to me. We go way back.	Marie 對我來說很特別。我們認識很久了。
So what do you do for a living, Whitey?	Whitey，那你是靠什麼維生的？
Well, nothing right now. I'm currently ... uh ... in relaxation mode. You see, I just got released from the slammer. Did a stretch for embezzlement.	呃，現在什麼都不做。我目前……呃……處於放鬆模式。你知道的，我才剛從牢裡放出來。因為侵占罪蹲了一段時間。
Really! That's interesting.	真的假的！挺有意思的。
Oh man, I can't believe I told you that. You mix these drinks strong, girl! Could you keep that little bit of information under your hat? I don't want people getting a bad impression of me.	天啊，真不敢相信我居然跟你說了這個。妹子，你調的酒也太烈了吧！你能幫我把這小小的秘密保密嗎？我不希望大家對我有壞印象。
Don't worry, Whitey. Your dark secret is safe with me. It's not a big deal, really.	別擔心，Whitey。你的秘密我會替你保守好。真的，這沒什麼大不了的。
Thanks, Alex. You're OK.	謝了，Alex。你人不錯。
Hey, Whitey, come on over here for a second.	嘿，Whitey，過來一下。
What can I do for you, dear lady?	親愛的女士，有什麼我能為你效勞的嗎？
I was just wondering what a gentleman like you does in his leisure time. Got any hobbies, Mr. Banksten?	我只是好奇像你這樣的紳士閒暇時都做些什麼。Banksten 先生，你有什麼嗜好嗎？
Oh, no, I'm a veritable monk. That is, aside from the women, gambling, and endless pursuit of money, ha ha!	喔，沒有，我簡直就是個苦行僧。當然啦，除了女人、賭博，還有沒完沒了地追逐金錢以外，哈哈！
Is that right? Well, if you were to come back later tonight, alone except for a couple of C notes, I might be able to get you into a little private party. You do play cards, don't you?	是嗎？這樣的話，如果你今晚晚點再過來，身邊只帶著幾張百元大鈔，我或許能帶你參加一個小小的私人派對。你會打牌吧？
Oh, I know how to play Old Maid and Go Fish. Seriously, Alex, that sounds great. I'll be back down once my lady and I have finished...tripping the light fantastic, as it were.	喔，我會玩抽鬼牌和釣魚牌喔。說真的，Alex，聽起來很不錯。等我跟我的女伴……姑且說是翩翩起舞完之後，我就會再下來。
Okay, see ya, hot shot.	好，回頭見，大人物。
Wow! You're doing better than you had hoped! This "charming cad" stuff comes naturally to you. Must have been all those Jimmy Cagney movies you used to watch.	哇！進展比你預期的還順利！這套「迷人的無賴」戲碼你演起來完全渾然天成。想必是以前看的那些 Jimmy Cagney 電影的功勞。
Let's go, baby, don't keep me waiting!	走吧，寶貝，別讓我等太久！
Hey, there, Whitey.	嘿，Whitey。
Can I get you a drink?	要幫你點杯飲料嗎？
Rum and coke, sweetheart.	蘭姆可樂，甜心。
You got it.	沒問題。
Thanks, Alex.	謝了，Alex。
Hey there, Whitey, what can I do for you?	嘿，Whitey，有什麼我能為你效勞的？
I've come to take you up on that offer you made earlier, Alex. I'm in the mood for some sport.	Alex，我是來接受你之前提的那個提議的。我現在很想找點樂子。
Okay, Whitey, you got it. Just give me the "entry fee", and I'll take you in.	好的，Whitey，沒問題。把「入場費」給我，我就帶你進去。
Hello, sir.	您好，先生。
I'd like a rum and coke, bartender.	酒保，來一杯蘭姆可樂。
You got it, pal.	沒問題，朋友。
Thanks.	謝了。
Here's your change, sir.	先生，這是您的零錢。
Hello, Officer.	您好，警員。
Can I do something for you?	需要我幫忙嗎？
Yeah, I'd like a rum and coke, bartender.	嗯，酒保，來一杯蘭姆可樂。
Whatever you say, Officer.	警員，一切聽您吩咐。
As you're slugging your rum-and-coke down, Sgt. Dooley comes in to meet his visiting Aunt Emily, who's staying at the hotel. He sees you quaffing the booze. The bad news is, you're off this investigation. The good news is, you have a one-month, no-salary vacation. Use your head next time, Bonds!	你正灌下蘭姆可樂時，Dooley 警佐進來會見住在旅館的 Emily 姑媽。他看見你喝酒。壞消息是你被踢出這次調查；好消息是你得到一個月無薪假。Bonds，下次動動腦！
What can I do for you, Whitey?	Whitey，有什麼我能為你效勞的？
I'm on a special mission, darlin'. Frank sent me.	親愛的，我在執行一項特別任務。Frank 派我來的。
Okay, Whitey, you got it! Let's go.	好，Whitey，沒問題！走吧。
Much as you'd like to touch the pretty stripes, you can't reach that high.	儘管你很想摸摸那漂亮的條紋，但你搆不到那麼高。
Looking wistfully at the bold striped pattern on the covering over the bar, you remember tales of the `good old days' your father used to tell you, when a convicted criminals wore stripes and spent the rest of their miserable lives breaking rocks on a chain gang...Yup, those were the days.	你若有所思地望著吧檯上方遮罩那鮮明的條紋圖案，想起你父親以前常說的「美好舊時光」的故事——那時候，定罪的犯人得穿條紋囚服，餘生就在鎖鏈苦役隊裡砸石頭度過……唉，那真是段美好時光啊。
They can nurse their drinks without your assistance.	他們不需要你的協助也能慢慢喝完自己的酒。
A bar patron, probably a hotel guest from out-of-town.	一位酒吧客人，大概是外地來的飯店房客。
The bar patron barely glances your way. Apparently your appearance is a little off-putting.	這位酒吧客人幾乎沒往你這邊看。顯然你的樣子有點嚇人。
Cleaner than the stools at Carol's.	比 Carol 咖啡城堡的凳子還乾淨。
Light, thin barstools...not made for the kind of abuse the barstools get at Wino Willy's.	輕巧纖細的吧檯椅……不是那種撐得住 Wino Willy's 酒館裡吧檯椅所受摧殘的款式。
There's nothing you need from the bar right now.	你現在不需要吧檯上的任何東西。
It's a safe bet that non-liquid inebriants have passed over this bar before.	可以肯定的是，這個吧檯上以前也少不了非液態的醉人玩意兒經過。
Tapping the kegger yourself would be a great way to get yourself bounced out.	自己動手接生啤酒桶，絕對是讓自己被踢出去的好辦法。
It's a suds dispenser.	這是啤酒龍頭。
There's nothing of interest on the yuppie post-modern peach colored carpet.	這片雅痞後現代風的桃色地毯上沒什麼值得注意的東西。
It's a yuppie post-modern peach colored carpet.	這是一片雅痞後現代風的桃色地毯。
You don't have time to sit on your butt, Officer. Get to work.	警員，你沒時間坐著發呆。快去做事。
The chairs are clean and new.	這些椅子既乾淨又新。
You sit down next to Marie. Can things really be going as smoothly as they seem to be? You hope so.	你在 Marie 身邊坐下。事情真的能像看起來這麼順利嗎？你希望如此。
You find nothing on the floor.	你在地板上什麼也沒找到。
An expensive wooden floor shows under the yuppie post-modern peach colored carpet.	那片雅痞後現代風的桃色地毯底下，露出一片昂貴的木質地板。
It's Marie. She seems to be doing a good job fitting in with the people here.	這是 Marie。她似乎很成功地融入了這裡的人群。
So, Marie, what's going on? Have you seen anything unusual?	Marie，情況如何？你有看到什麼不尋常的事嗎？
As a matter of fact, I have, Son...uh, Whitey. I've seen the same three guys going into the storage room, and not coming out for hours. But get this, I snuck a peek in, and they weren't there! They have to be going somewhere else, you know, through the storage room. They must be holding the game back there somewhere.	老實說，我看到了，Son……呃，Whitey。我看到同樣那三個傢伙走進儲藏室，好幾個小時都沒出來。但你聽好了，我偷偷瞄了一眼，他們居然不在裡面！他們一定是穿過儲藏室去了別的地方。賭局肯定就藏在後面某個地方。
That's terrific, Marie, thanks a lot. But you really shouldn't be spying on them like that. These are dangerous guys.	太棒了，Marie，非常感謝。但你真的不該像那樣偷窺他們。這些人很危險。
I want to do my best for you...Whitey.	我想為你盡我最大的努力……Whitey。
Marie's smiling that smile that turns your insides to yogurt again. You feel yourself starting to blush.	Marie 又露出那個讓你渾身酥軟的笑容。你感覺自己開始臉紅了。
All refreshed, my dear? Are you ready for adventure?	親愛的，都恢復精神了嗎？準備好冒險了嗎？
As long as it's with you, baby!	只要是跟你一起，寶貝！
That's just what I wanted to hear. How about coming to Vegas with me this weekend for some gambling, drinking, and dancing til dawn?	這正是我想聽到的。這個週末要不要跟我一起去 Vegas，賭博、喝酒、跳舞跳到天亮？
Oh, Whitey, do you mean it? Oh, yes, I'd love to come with you! Oh, thank you!	喔，Whitey，你是說真的嗎？喔，好，我好想跟你一起去！喔，謝謝你！
Well, you two kids have fun. I have to get back to the bar.	好啦，你們兩個小鬼玩得開心點。我得回吧檯去了。
Okay, Alex.	好的，Alex。
So, Sweet Cheeks, baby, how bout a tour of my room?	Sweet Cheeks，寶貝，要不要參觀一下我的房間？
I thought you'd never ask. Let's go, lover.	我還以為你永遠不會問呢。走吧，親愛的。
Will you please excuse me, Whitey? I have to take care of some, uh, personal business. I'll be back in a flash, Baby.	Whitey，能失陪一下嗎？我得去處理一些……呃，私人事務。寶貝，我一下子就回來。
You discover that it's not really marble. Even fancy places have their limits.	你發現這其實不是真的大理石。就算是高檔場所也有極限。
Marbelized wall paneling. Fancy, fancy.	仿大理石紋路的牆面壁板。真是講究、講究。
It feels like a plastic plant.	摸起來像是一株塑膠植物。
How tacky. A plastic plant.	真俗氣。塑膠植物。
Talking to real plants is eccentric. Talking to plastic plants is stupid.	對著真植物說話算是古怪，對著塑膠植物說話就是愚蠢了。
This is the Hotel Delphoria cocktail lounge.	這是 Delphoria 飯店的雞尾酒廊。
What is this? Are you some kind of flake or something? Are you a deadbeat? I think you're a cop. Get lost, Mister Whitey, or whatever your name is!	這是搞什麼？你是哪根蔥啊？是來白吃白喝的嗎？我看你根本是條子。滾遠一點，Whitey 先生，還是你到底叫什麼名字！
Come on, high roller, cough up the cash.	快點，大戶，把錢掏出來。
Hey, Whitey! What's been happening with you lately? I'm dying to hear what you've been up to.	嘿，Whitey！你最近過得怎麼樣？我超想聽聽你最近都在忙什麼。
Hey, tough guy, nobody drinks for free. Unless you want a free ride from a cop, pay up!	嘿，硬漢，沒有人可以白喝酒。除非你想被條子免費請去坐一趟，不然就付錢！
Good job, Bonds. Since you didn't pay for your drink, Alex called the police. A rookie named Joe Bob recognized you, and shouted out, "Hey, Sonny! Congratulations on that promotion to Narcotics!" The whole operation was blown. You're now back on traffic patrol.	幹得好，Bonds。因為你沒付飲料錢，Alex 報了警。一名叫 Joe Bob 的菜鳥認出你，大喊：「嘿，Sonny！恭喜你升任緝毒警員！」整個行動曝光了。你現在又回去做交通巡邏。
You take your change, and give Alex a $20.00 tip.	你收下零錢，給了 Alex 20 元小費。
Oh! Thank you--Whitey, is it?	喔！謝謝你——是叫 Whitey 對吧？
Oh, I've been so rude! Alex, this is Jimmy Lee Banksten, known as Whitey to his good friends. I've known this cutie-pie for going on eight years now. But it's been... what, a whole year since the last time we got together? How I missed you, honey! Anyway, Whitey, this is my girlfriend Alex.	喔，我真沒禮貌！Alex，這位是 Jimmy Lee Banksten，好朋友都叫他 Whitey。我認識這個小可愛已經快八年了。不過已經……我們上次見面到現在，該有一整年了吧？親愛的，我好想你喔！總之，Whitey，這是我的女性好友 Alex。
Nice to meet you, Whitey.	很高興認識你，Whitey。
Charmed, Ms. Alex.	幸會了，Alex 小姐。
Well, why don't you two just chat for a minute while I excuse myself. I have to visit the lejuois.	好啦，我先失陪一下，你們兩個聊聊天吧。我得去一下洗手間。
Well, Whitey, Marie sure is taken with you. She's usually a pretty good judge of character.	說真的，Whitey，Marie 顯然很迷戀你。她看人的眼光通常挺準的。
After that fourth rum and coke, you lost control -- and any sense of judgment -- and cued Alex in to the operation. So much for the operation...and so much for your job in Narcotics. It's back to Traffic duty for you.	第四杯蘭姆可樂下肚後，你失去控制，也失去了判斷力，把行動告訴 Alex。行動完蛋了……你的緝毒工作也完蛋了。你只能回去做交通勤務。
What can I get for you, sir?	先生，需要點些什麼？
Rum and coke, my dear.	蘭姆可樂，親愛的。
Comin' up.	馬上來。
Here's your drink, sir.	先生，您的酒來了。
Whitey! Hey, Whitey! Come on over here, you sexy thang! Don't be shy, you know I can't resist you!	Whitey！嘿，Whitey！過來這邊嘛，你這性感尤物！別害羞啦，你知道人家沒辦法抗拒你的！
Marie is laying it on a little thick. You take a deep breath, muster up your best "gangster" attitude, and smile at her dashingly.	Marie 演得有點浮誇。你深吸一口氣，擺出你最拿手的「黑幫」架式，帥氣地對她一笑。
